t,s
0.0,1.0
0.01,0.9980267284282716
0.02,0.9921147013144779
0.03,0.9822872507286887
0.04,0.9685831611286311
0.05,0.9510565162951535
0.06,0.9297764858882515
0.07,0.9048270524660195
0.08,0.8763066800438636
0.09,0.8443279255020151
0.1,0.8090169943749475
0.11,0.7705132427757893
0.12,0.7289686274214116
0.13,0.6845471059286887
0.14,0.6374239897486896
0.15,0.5877852522924732
0.16,0.5358267949789967
0.17,0.4817536741017152
0.18,0.42577929156507266
0.19,0.3681245526846781
0.2,0.30901699437494745
0.21,0.24868988716485496
0.22,0.1873813145857247
0.23,0.12533323356430426
0.24,0.06279051952931351
0.25,6.123233995736766e-17
0.26,-0.0627905195293134
0.27,-0.12533323356430437
0.28,-0.18738131458572482
0.29,-0.24868988716485463
0.3,-0.30901699437494734
0.31,-0.368124552684678
0.32,-0.42577929156507277
0.33,-0.4817536741017154
0.34,-0.5358267949789968
0.35000000000000003,-0.587785252292473
0.36,-0.6374239897486896
0.37,-0.6845471059286887
0.38,-0.7289686274214113
0.39,-0.7705132427757891
0.4,-0.8090169943749473
0.41000000000000003,-0.8443279255020151
0.42,-0.8763066800438635
0.43,-0.9048270524660194
0.44,-0.9297764858882513
0.45,-0.9510565162951535
0.46,-0.9685831611286311
0.47000000000000003,-0.9822872507286887
0.48,-0.9921147013144778
0.49,-0.9980267284282716
0.5,-1.0
0.51,-0.9980267284282716
0.52,-0.9921147013144779
0.53,-0.9822872507286886
0.54,-0.9685831611286311
0.55,-0.9510565162951534
0.56,-0.9297764858882512
0.5700000000000001,-0.9048270524660195
0.58,-0.8763066800438637
0.59,-0.8443279255020152
0.6,-0.8090169943749475
0.61,-0.7705132427757893
0.62,-0.7289686274214116
0.63,-0.684547105928689
0.64,-0.6374239897486896
0.65,-0.5877852522924732
0.66,-0.5358267949789963
0.67,-0.4817536741017153
0.68,-0.42577929156507216
0.6900000000000001,-0.36812455268467775
0.7000000000000001,-0.30901699437494756
0.71,-0.2486898871648553
0.72,-0.18738131458572463
0.73,-0.12533323356430462
0.74,-0.0627905195293132
0.75,-1.8369701987210297e-16
0.76,0.06279051952931283
0.77,0.12533323356430423
0.78,0.18738131458572427
0.79,0.24868988716485496
0.8,0.30901699437494723
0.81,0.3681245526846783
0.8200000000000001,0.42577929156507266
0.8300000000000001,0.4817536741017157
0.84,0.535826794978996
0.85,0.5877852522924729
0.86,0.6374239897486893
0.87,0.6845471059286886
0.88,0.7289686274214113
0.89,0.7705132427757894
0.9,0.8090169943749473
0.91,0.8443279255020153
0.92,0.8763066800438636
0.93,0.9048270524660198
0.9400000000000001,0.9297764858882515
0.9500000000000001,0.9510565162951535
0.96,0.968583161128631
0.97,0.9822872507286887
0.98,0.9921147013144778
0.99,0.9980267284282716
1.0,1.0
1.01,0.9980267284282716
1.02,0.9921147013144779
1.03,0.9822872507286887
1.04,0.9685831611286311
1.05,0.9510565162951536
1.06,0.9297764858882513
1.07,0.9048270524660196
1.08,0.8763066800438634
1.09,0.8443279255020151
1.1,0.809016994374947
1.11,0.770513242775789
1.12,0.7289686274214109
1.1300000000000001,0.6845471059286884
1.1400000000000001,0.6374239897486896
1.1500000000000001,0.5877852522924727
1.16,0.5358267949789972
1.17,0.48175367410171616
1.18,0.4257792915650731
1.19,0.36812455268467875
1.2,0.30901699437494773
1.21,0.24868988716485543
1.22,0.18738131458572474
1.23,0.12533323356430473
1.24,0.06279051952931332
1.25,3.061616997868383e-16
1.26,-0.06279051952931271
1.27,-0.12533323356430412
1.28,-0.18738131458572502
1.29,-0.2486898871648548
1.3,-0.3090169943749471
1.31,-0.3681245526846773
1.32,-0.42577929156507327
1.33,-0.4817536741017156
1.34,-0.5358267949789967
1.35,-0.5877852522924728
1.36,-0.6374239897486905
1.37,-0.6845471059286892
1.3800000000000001,-0.7289686274214118
1.3900000000000001,-0.7705132427757893
1.4000000000000001,-0.8090169943749472
1.41,-0.8443279255020147
1.42,-0.8763066800438631
1.43,-0.9048270524660189
1.44,-0.9297764858882513
1.45,-0.9510565162951534
1.46,-0.968583161128631
1.47,-0.9822872507286885
1.48,-0.9921147013144779
1.49,-0.9980267284282716
1.5,-1.0
1.51,-0.9980267284282716
1.52,-0.992114701314478
1.53,-0.9822872507286886
1.54,-0.9685831611286311
1.55,-0.9510565162951536
1.56,-0.9297764858882517
1.57,-0.9048270524660192
1.58,-0.8763066800438635
1.59,-0.8443279255020151
1.6,-0.8090169943749477
1.61,-0.7705132427757886
1.62,-0.728968627421411
1.6300000000000001,-0.6845471059286885
1.6400000000000001,-0.6374239897486897
1.6500000000000001,-0.5877852522924735
1.6600000000000001,-0.5358267949789958
1.67,-0.48175367410171627
1.68,-0.425779291565074
1.69,-0.36812455268467803
1.7,-0.30901699437494784
1.71,-0.24868988716485554
1.72,-0.18738131458572574
1.73,-0.12533323356430395
1.74,-0.06279051952931344
1.75,-4.286263797015736e-16
1.76,0.06279051952931258
1.77,0.12533323356430312
1.78,0.1873813145857249
1.79,0.24868988716485468
1.8,0.309016994374947
1.81,0.3681245526846772
1.82,0.4257792915650732
1.83,0.4817536741017155
1.84,0.5358267949789965
1.85,0.5877852522924728
1.86,0.6374239897486904
1.87,0.6845471059286891
1.8800000000000001,0.7289686274214118
1.8900000000000001,0.7705132427757891
1.9000000000000001,0.8090169943749472
1.9100000000000001,0.8443279255020156
1.92,0.876306680043863
1.93,0.9048270524660189
1.94,0.9297764858882513
1.95,0.9510565162951534
1.96,0.9685831611286309
1.97,0.9822872507286885
1.98,0.9921147013144779
1.99,0.9980267284282716
2.0,1.0
2.0100000000000002,0.9980267284282716
2.02,0.992114701314478
2.0300000000000002,0.9822872507286886
2.04,0.9685831611286312
2.05,0.9510565162951543
2.06,0.9297764858882518
2.07,0.90482705246602
2.08,0.8763066800438635
2.09,0.8443279255020161
2.1,0.8090169943749477
2.11,0.7705132427757897
2.12,0.7289686274214111
2.13,0.6845471059286898
2.14,0.6374239897486899
2.15,0.5877852522924736
2.16,0.5358267949789959
2.17,0.4817536741017164
2.18,0.4257792915650725
2.19,0.36812455268467814
2.2,0.30901699437494623
2.21,0.24868988716485566
2.22,0.18738131458572413
2.23,0.1253332335643041
2.24,0.0627905195293118
2.25,5.51091059616309e-16
2.2600000000000002,-0.06279051952931423
2.27,-0.12533323356430298
2.2800000000000002,-0.18738131458572477
2.29,-0.24868988716485457
2.3000000000000003,-0.30901699437494856
2.31,-0.3681245526846771
2.32,-0.4257792915650715
2.33,-0.4817536741017154
2.34,-0.5358267949789949
2.35,-0.5877852522924727
2.36,-0.637423989748689
2.37,-0.6845471059286891
2.38,-0.7289686274214104
2.39,-0.770513242775789
2.4,-0.809016994374947
2.41,-0.8443279255020155
2.42,-0.8763066800438629
2.43,-0.9048270524660196
2.44,-0.9297764858882513
2.45,-0.951056516295154
2.46,-0.9685831611286309
2.47,-0.9822872507286887
2.48,-0.9921147013144779
2.49,-0.9980267284282717
2.5,-1.0
2.5100000000000002,-0.9980267284282716
2.52,-0.992114701314478
2.5300000000000002,-0.9822872507286886
2.54,-0.9685831611286312
2.5500000000000003,-0.9510565162951532
2.56,-0.9297764858882511
2.57,-0.9048270524660209
2.58,-0.8763066800438636
2.59,-0.8443279255020153
2.6,-0.8090169943749479
2.61,-0.7705132427757899
2.62,-0.7289686274214124
2.63,-0.68454710592869
2.64,-0.6374239897486885
2.65,-0.5877852522924751
2.66,-0.535826794978996
2.67,-0.48175367410171493
2.68,-0.4257792915650726
2.69,-0.36812455268467825
2.7,-0.30901699437494806
2.71,-0.24868988716485577
2.72,-0.1873813145857225
2.73,-0.12533323356430595
2.74,-0.06279051952931193
2.75,-2.4499125789312946e-15
2.7600000000000002,0.06279051952931411
2.77,0.12533323356430465
2.7800000000000002,0.18738131458572466
2.79,0.2486898871648545
2.8000000000000003,0.3090169943749468
2.81,0.368124552684677
2.82,0.4257792915650714
2.83,0.48175367410171377
2.84,0.5358267949789949
2.85,0.587785252292474
2.86,0.6374239897486875
2.87,0.684547105928689
2.88,0.7289686274214116
2.89,0.770513242775789
2.9,0.809016994374947
2.91,0.8443279255020145
2.92,0.8763066800438629
2.93,0.9048270524660202
2.94,0.9297764858882506
2.95,0.9510565162951539
2.96,0.9685831611286313
2.97,0.9822872507286887
2.98,0.9921147013144779
2.99,0.9980267284282716
3.0,1.0
3.0100000000000002,0.9980267284282714
3.02,0.992114701314478
3.0300000000000002,0.9822872507286884
3.04,0.9685831611286316
3.0500000000000003,0.9510565162951532
3.06,0.9297764858882511
3.0700000000000003,0.9048270524660194
3.08,0.8763066800438637
3.09,0.8443279255020153
3.1,0.8090169943749479
3.11,0.7705132427757899
3.12,0.7289686274214126
3.13,0.68454710592869
3.14,0.6374239897486886
3.15,0.5877852522924751
3.16,0.5358267949789961
3.17,0.481753674101715
3.18,0.4257792915650727
3.19,0.36812455268467836
3.2,0.3090169943749482
3.21,0.24868988716485588
3.22,0.18738131458572263
3.23,0.1253332335643061
3.24,0.06279051952931204
3.25,-9.803364199544708e-16
3.2600000000000002,-0.062790519529314
3.27,-0.1253332335643045
3.2800000000000002,-0.18738131458572455
3.29,-0.24868988716485438
3.3000000000000003,-0.3090169943749467
3.31,-0.3681245526846769
3.3200000000000003,-0.4257792915650745
3.33,-0.48175367410171366
3.34,-0.5358267949789948
3.35,-0.5877852522924739
3.36,-0.6374239897486874
3.37,-0.6845471059286888
3.38,-0.7289686274214113
3.39,-0.7705132427757889
3.4,-0.8090169943749469
3.41,-0.8443279255020144
3.42,-0.8763066800438628
3.43,-0.9048270524660202
3.44,-0.9297764858882506
3.45,-0.9510565162951539
3.46,-0.9685831611286313
3.47,-0.9822872507286887
3.48,-0.9921147013144778
3.49,-0.9980267284282716
3.5,-1.0
3.5100000000000002,-0.9980267284282714
3.52,-0.992114701314478
3.5300000000000002,-0.9822872507286884
3.54,-0.9685831611286316
3.5500000000000003,-0.9510565162951533
3.56,-0.9297764858882512
3.5700000000000003,-0.9048270524660195
3.58,-0.8763066800438637
3.59,-0.8443279255020154
3.6,-0.809016994374948
3.61,-0.77051324277579
3.62,-0.7289686274214127
3.63,-0.6845471059286901
3.64,-0.6374239897486887
3.65,-0.5877852522924752
3.66,-0.5358267949789961
3.67,-0.4817536741017151
3.68,-0.4257792915650728
3.69,-0.3681245526846785
3.7,-0.3090169943749483
3.71,-0.24868988716485604
3.72,-0.18738131458572274
3.73,-0.1253332335643062
3.74,-0.06279051952931217
