t,s
0.0,0.0
0.01,0.06279051952931337
0.02,0.12533323356430426
0.03,0.1873813145857246
0.04,0.2486898871648548
0.05,0.3090169943749474
0.06,0.3681245526846779
0.07,0.4257792915650727
0.08,0.4817536741017153
0.09,0.5358267949789967
0.1,0.5877852522924731
0.11,0.6374239897486896
0.12,0.6845471059286886
0.13,0.7289686274214116
0.14,0.7705132427757893
0.15,0.8090169943749473
0.16,0.8443279255020151
0.17,0.8763066800438637
0.18,0.9048270524660196
0.19,0.9297764858882513
0.2,0.9510565162951535
0.21,0.9685831611286311
0.22,0.9822872507286886
0.23,0.9921147013144779
0.24,0.9980267284282716
0.25,1.0
0.26,0.9980267284282716
0.27,0.9921147013144778
0.28,0.9822872507286886
0.29,0.9685831611286312
0.3,0.9510565162951536
0.31,0.9297764858882513
0.32,0.9048270524660195
0.33,0.8763066800438635
0.34,0.844327925502015
0.35000000000000003,0.8090169943749475
0.36,0.7705132427757893
0.37,0.7289686274214116
0.38,0.6845471059286888
0.39,0.6374239897486899
0.4,0.5877852522924732
0.41000000000000003,0.5358267949789967
0.42,0.4817536741017156
0.43,0.4257792915650729
0.44,0.36812455268467814
0.45,0.3090169943749475
0.46,0.2486898871648548
0.47000000000000003,0.18738131458572455
0.48,0.12533323356430454
0.49,0.06279051952931358
0.5,1.2246467991473532e-16
0.51,-0.06279051952931333
0.52,-0.1253332335643043
0.53,-0.18738131458572477
0.54,-0.24868988716485502
0.55,-0.30901699437494773
0.56,-0.36812455268467836
0.5700000000000001,-0.4257792915650727
0.58,-0.481753674101715
0.59,-0.5358267949789964
0.6,-0.587785252292473
0.61,-0.6374239897486896
0.62,-0.6845471059286887
0.63,-0.7289686274214113
0.64,-0.7705132427757894
0.65,-0.8090169943749473
0.66,-0.8443279255020153
0.67,-0.8763066800438636
0.68,-0.9048270524660198
0.6900000000000001,-0.9297764858882515
0.7000000000000001,-0.9510565162951535
0.71,-0.968583161128631
0.72,-0.9822872507286887
0.73,-0.9921147013144778
0.74,-0.9980267284282716
0.75,-1.0
0.76,-0.9980267284282716
0.77,-0.9921147013144779
0.78,-0.9822872507286887
0.79,-0.9685831611286311
0.8,-0.9510565162951536
0.81,-0.9297764858882512
0.8200000000000001,-0.9048270524660196
0.8300000000000001,-0.8763066800438634
0.84,-0.8443279255020155
0.85,-0.8090169943749476
0.86,-0.7705132427757896
0.87,-0.7289686274214116
0.88,-0.684547105928689
0.89,-0.6374239897486896
0.9,-0.5877852522924732
0.91,-0.5358267949789963
0.92,-0.4817536741017153
0.93,-0.4257792915650722
0.9400000000000001,-0.3681245526846778
0.9500000000000001,-0.3090169943749476
0.96,-0.24868988716485535
0.97,-0.18738131458572468
0.98,-0.12533323356430467
0.99,-0.06279051952931326
1.0,-2.4492935982947064e-16
1.01,0.06279051952931276
1.02,0.12533323356430418
1.03,0.1873813145857242
1.04,0.2486898871648549
1.05,0.3090169943749472
1.06,0.36812455268467825
1.07,0.4257792915650726
1.08,0.4817536741017157
1.09,0.5358267949789967
1.1,0.5877852522924737
1.11,0.63742398974869
1.12,0.6845471059286893
1.1300000000000001,0.7289686274214118
1.1400000000000001,0.7705132427757893
1.1500000000000001,0.8090169943749478
1.16,0.8443279255020147
1.17,0.8763066800438631
1.18,0.9048270524660194
1.19,0.9297764858882511
1.2,0.9510565162951534
1.21,0.968583161128631
1.22,0.9822872507286886
1.23,0.9921147013144778
1.24,0.9980267284282716
1.25,1.0
1.26,0.9980267284282716
1.27,0.9921147013144779
1.28,0.9822872507286886
1.29,0.9685831611286311
1.3,0.9510565162951536
1.31,0.9297764858882517
1.32,0.9048270524660192
1.33,0.8763066800438635
1.34,0.8443279255020151
1.35,0.8090169943749477
1.36,0.7705132427757886
1.37,0.728968627421411
1.3800000000000001,0.6845471059286884
1.3900000000000001,0.6374239897486896
1.4000000000000001,0.5877852522924734
1.41,0.5358267949789972
1.42,0.48175367410171616
1.43,0.42577929156507394
1.44,0.368124552684678
1.45,0.3090169943749478
1.46,0.2486898871648555
1.47,0.18738131458572568
1.48,0.1253332335643039
1.49,0.06279051952931337
1.5,3.6739403974420594e-16
1.51,-0.06279051952931265
1.52,-0.12533323356430318
1.53,-0.18738131458572496
1.54,-0.24868988716485474
1.55,-0.30901699437494706
1.56,-0.36812455268467725
1.57,-0.42577929156507327
1.58,-0.4817536741017156
1.59,-0.5358267949789967
1.6,-0.5877852522924728
1.61,-0.6374239897486905
1.62,-0.6845471059286892
1.6300000000000001,-0.7289686274214118
1.6400000000000001,-0.7705132427757891
1.6500000000000001,-0.8090169943749472
1.6600000000000001,-0.8443279255020156
1.67,-0.876306680043863
1.68,-0.9048270524660189
1.69,-0.9297764858882513
1.7,-0.9510565162951534
1.71,-0.968583161128631
1.72,-0.9822872507286885
1.73,-0.9921147013144779
1.74,-0.9980267284282716
1.75,-1.0
1.76,-0.9980267284282716
1.77,-0.992114701314478
1.78,-0.9822872507286886
1.79,-0.9685831611286312
1.8,-0.9510565162951538
1.81,-0.9297764858882517
1.82,-0.9048270524660192
1.83,-0.8763066800438635
1.84,-0.8443279255020152
1.85,-0.8090169943749477
1.86,-0.7705132427757886
1.87,-0.7289686274214111
1.8800000000000001,-0.6845471059286885
1.8900000000000001,-0.6374239897486897
1.9000000000000001,-0.5877852522924735
1.9100000000000001,-0.5358267949789958
1.92,-0.48175367410171627
1.93,-0.42577929156507405
1.94,-0.3681245526846781
1.95,-0.3090169943749479
1.96,-0.2486898871648556
1.97,-0.18738131458572582
1.98,-0.12533323356430404
1.99,-0.0627905195293135
